#    Dat Name: Sega - Mega Drive - Genesis
#     Version: 20160524-120709
# Description: Sega - Mega Drive - Genesis
#     Comment: no-intro | www.no-intro.org
#      Author: 
#        Type: ClrMamePro
#       Games: 1706
#       Flags: data_imported=True from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
6cf7a4df	1994	
a4fbf9a9	1989	
ebabbc70	1995	
13795dca	1990	
87b636a2	1988	
1e719c80	1992	
76120e96	1990	
ab0d1269	1993	
73dc0dd8	1991	
860e749a	1992	
202abaa8	1990	
dc9f02db	1990	
eaa47400	0	
1fdc66b0	1995	
10829ea1	1991	
4602584f	1991	
5a652458	1992	
e040f0da	1994	
5659f379	1989	
a2ec8c67	1990	
a2990031	1990	
25dfe62a	1990	
464aca40	1991	
7a33b0cb	1990	
dcb76fb7	1993	
98d224a5	0	
9177088c	1993	
56164b00	1992	
512b7599	1992	
76f2bed8	0	
802cd123	1994	
894686f0	1993	
7c6b0646	1993	
b95e25c9	1994	
317c9491	0	
35cbd237	1992	
a9804dcc	1992	
982242d3	1994	
57ffad7a	0	
5ff71877	1995	
c287343d	1995	
67a9860b	1992	
1e740145	1993	
4c4caad8	1991	
d3f300ac	1992	
c632e5af	0	
ef887533	1990	
1312cf22	1994	
4608f53a	1994	
5fe351b8	1991	
70155b5b	1993	
adfde883	1996	
ca72973c	1991	
30006ebd	0	
5f9b9a48	0	
b2dd857f	1995	
e32f0b1c	0	
11194414	1995	
eeed1130	1993	
d98c623c	1993	
54f5d530	1992	
b36ab75c	1993	
a8bfdbd6	1991	
27e59e35	1994	
8352b1d0	1994	
70680706	1993	
c7ca517f	1993	
4d0e5273	0	
fdeed51d	1994	
efe850e5	1994	
af8f3371	1994	
f035c737	1994	
1bc16040	1994	
46924dc3	1995	
81f0c3cf	1991	
58037bc6	1992	
a33eb522	0	
d8d2efd7	1993	
841edbc0	1993	
e2e21b72	1992	
6bd2accb	1998	
4dea40ba	1994	
39790728	1994	
b58ae71d	1994	
af4a9cd7	1992	
360c1b20	1992	
47e0a64e	1993	
ba3554bc	1995	
39d01c8c	1990	
246f0bda	0	
d03cdb53	1994	
5c25e934	0	
3dfeeb77	1994	
9bfc279c	1991	
9dcdc894	1992	
a0b54cbc	1992	
96d8440c	0	
1d08828c	0	
a427814a	0	
f50be478	0	
ab12849a	0	
61e9c309	0	
d13aecdc	0	
e72f8a36	0	
a243816d	1992	
3519c422	1995	
1c07b337	1994	
df3acf59	1994	
af235fdf	1995	
d57f8ba7	1995	
7b1bf89c	1994	
ccb21f98	1994	
8db60749	0	
6c6f4b89	1995	
3c517975	1995	
6520304d	1993	
45547390	1992	
62d439c0	1994	
6091c36e	1991	
70a1ceb0	1991	
5f553e29	1990	
390918c6	1993	
e24ac6b2	0	
48467542	1993	
e10a25c0	1994	
9821d0a3	1995	
e5517b77	1992	
b9512f5e	1994	
e0665f06	0	
66aa3c64	1994	
48f1a42e	1993	
b0416c60	1993	
6a5cf104	1992	
4fef37c8	1992	
33b1979f	1992	
349bb68d	1993	
c642fdf4	0	
1b569dc2	1991	
880bf311	1991	
b599b9f9	1995	
10ec03f3	1995	
70edf964	0	
22e6fc04	1993	
1bf67a07	1993	
ea6e421a	1994	
e98ee370	1993	
412c4d60	1993	
fd4f5a01	0	
dc5f07ba	0	
fb55c785	1993	
d6a880a4	0	
dd19b2b3	1992	
9cf552c2	1991	
fbdd4520	1993	
74cee0a7	1995	
2269ed6b	0	
5a72fce8	0	
5d30befb	1991	
96947f57	1997	
b555e8b4	1994	
bddbb763	1993	
12591f90	1994	
b389d036	1994	
bad30ffa	1995	
a33d5803	1996	
731fa4a1	1990	
963f4969	1991	
1aa628b0	1994	
d351b242	1991	
fc43df2d	0	
46447e7a	1993	
bb43f0de	1991	
2e730a91	1993	
98d49170	1993	
1b1754cb	1994	
5f0bd984	1991	
21dbb69d	1991	
e91aed05	0	
7867da3a	1990	
8d40d64f	1998	
6a382b60	1996	
7b2e416d	1996	
250111df	0	
f73f6bec	1992	
fac29677	1995	
c6d4a240	0	
39be80ec	1991	
5f51983b	1992	
48ad505d	1990	
eb7e36c3	1991	
2351ce61	1991	
570b5024	1990	
655074d0	0	
6f311c83	1993	
b790e3b4	1993	
23a9616d	1993	
33cd2b65	1993	
4291c8ab	1991	
bef9a4f4	1994	
21845d61	1993	
920a3031	1993	
7c982c59	1993	
2a1da08c	1995	
36248f90	1995	
d0ee6434	1989	
95513985	0	
ccd73738	1993	
863e0950	1995	
c5e80ce2	0	
ea2e48c0	1998	
cdf5678f	1995	
da4ab3cd	1994	
b5ae351d	1993	
42e27845	0	
a82f05f0	1993	
4762062a	1991	
f2af886e	1993	
175c7e63	0	
db30f773	1992	
7ae5e248	1992	
5d8bf68b	1990	
8641a2ab	1991	
83e7b8ae	0	
aee20a64	0	
cae883c5	1991	
d15f5c3c	0	
5650b7a0	1990	
5f293e4c	0	
14dbce4a	0	
c185c819	1991	
cdad7e6b	0	
f0ff078e	1995	
2d965364	1995	
bf3e3fa4	1993	
2af4427f	1994	
b0b5e3c9	1992	
f9872055	1993	
3bf46dce	1993	
f9d60510	1993	
3d36135b	1992	
f1ecc4df	1993	
5cc73690	1994	
131f36a6	1994	
87a281ae	1993	
bd556381	1993	
e1fdc787	1993	
419da300	1990	
792df93b	0	
d31bd910	1990	
4f2561d5	0	
5c218c6a	1993	
6c415016	1993	
e4f50206	1993	
fd234ccd	1992	
2c06bb64	0	
e8182b90	1989	
665d7df9	0	
725e0a18	1991	
e62ea1bb	0	
c7862ea3	1993	
4e1cc833	1994	
abe9c415	1994	
7f45719b	1990	
e89d1e66	0	
30cf37d0	1992	
8c2670de	1992	
5aa0f3a0	1994	
14744883	1994	
8c5c93b8	1992	
9778c181	1994	
7ef8b162	1994	
6e3621d5	1993	
c4820a03	1992	
7e6bef15	1994	
f60ef143	1991	
e5785d45	0	
da1440c9	1994	
866ed9d0	1993	
1cfd0383	1993	
6f90b502	0	
b813cf0d	1993	
34051020	1991	
1b69241f	1991	
3225baaf	1990	
ea9c4878	1994	
ed10bc9e	1995	
a4f2f011	1993	
bd1b9a04	1991	
c9fc876d	1993	
76e6d20d	1994	
dcffa327	1995	
f6b6a9d8	1991	
1acbe608	1990	
31449113	1996	
cf30acec	1992	
8e5e13ba	1990	
184018f9	1990	
4cf676b3	1989	
a605b65b	1990	
17be551c	1994	
85b23606	1993	
1b6585e7	1989	
3a235fb9	0	
aa0d4387	1992	
cbf87c14	1993	
630f07c6	1992	
a154433a	1993	
2c48e712	1993	
796882b8	0	
decdf740	0	
a0cf4366	1992	
deccc874	1994	
a1f1cfe7	1994	
4f026870	0	
72253bdb	1992	
f27c576a	1994	
5baf53d7	1994	
db124bbb	0	
83bb2799	1991	
e04ffc2b	1994	
53bfd600	1992	
f653c508	1991	
623a920f	0	
1f6e574a	1994	
84a5a2dc	1994	
eb8f4374	1992	
3599a3fd	1992	
9625c434	1990	
70626304	1990	
4e384ef0	1993	
ad6c2050	0	
d97d1699	1993	
9bb3b180	1996	
b1de7d5e	1990	
25afb4f7	0	
81b7725d	0	
77b416e4	1995	
453c405e	1993	
ec229156	1993	
2d5b7a11	0	
9fe71002	1994	
abed3790	1993	
5545e909	1993	
87bbcf2a	1990	
291a3e4b	1993	
4e614548	1993	
d0e7b466	1991	
26f64b2a	1993	
98794702	1993	
f4abedba	1991	
d91b52b8	1994	
b5ef97c6	1993	
8a1b19ad	1991	
1ea07af2	1993	
7cfadc16	0	
ab2abc8e	1992	
56cff3f1	1993	
25e2f9d2	1993	
13f924d2	1993	
e7f48d30	1992	
2cf6926c	1991	
cee98813	1991	
1cf3238b	0	
aef5b1f0	1994	
e9829b22	1995	
85bcc1c7	1994	
8aa6a1dd	1990	
f2363a4a	1991	
a45da893	0	
46e39450	1991	
ca323b3e	1992	
90fb8818	1990	
ca534b1a	0	
460611c0	0	
22d77e6d	1992	
4d3ddd7c	0	
8837e896	1993	
da9e25aa	0	
d09b1ef1	1992	
7362c3f4	0	
8d46f4da	0	
e649f784	0	
ea342ed8	1995	
94cdce8d	1990	
b9709a99	1994	
3fb6d92e	1994	
cd540d40	0	
a5d29735	1993	
ba7a870b	1993	
23534949	0	
448341f6	0	
ec8e5783	0	
7b31deef	0	
cf890eed	0	
98b4aa1b	0	
2a60ebe9	0	
1b7c96c0	1988	
b2233e87	0	
81a2c800	1990	
391866a1	1991	
effc0fa6	1991	
55934d1b	0	
631cc8e9	0	
9bdc230c	0	
bc37401a	0	
ce36e6cc	1992	
21a0e749	0	
b8e7668a	0	
2cfc9f61	1992	
f516e7d9	1992	
7a94fd49	0	
3af7e74e	0	
f390d406	0	
ee1638ac	0	
aa68a92e	0	
22e1f04a	0	
e487088c	0	
1afcc1da	0	
248cd09e	1991	
755d0b8a	0	
f764005e	0	
56976261	0	
affd56bc	0	
83b6b6ba	1991	
de48dce3	1991	
61276d21	0	
224ff103	1993	
70c3428d	1992	
3f848a92	0	
e33fc750	0	
fbbb5b97	0	
70483d03	0	
10fedb8f	0	
60d4cedb	0	
5de7d917	0	
